index,Wind Speed,efficiency
2015-05-18,2.3799999,0.29507051623203834
2015-05-19,2.33,0.2755233280113536
2015-05-20,1.8399999,0.11100762817101295
2015-05-21,2.22,0.0837324818165691
2015-05-22,1.51,0.04138948021997516
2015-05-23,1.4699999,0.08944252261841405
2015-05-24,1.63,0.028771953166577966
2015-05-25,2.21,0.07083776831648039
2015-05-26,2.08,0.2126020046123825
2015-05-27,2.57,0.42519292176689727
2015-05-28,2.29,0.21735852403760866
2015-05-29,1.79,0.12845928685470995
2015-05-30,2.7,0.42559207025013307
2015-05-31,2.04,0.2634047365620011
2015-06-01,2.8,0.28453743125776126
2015-06-02,3.05,0.3516719886464431
2015-06-03,2.4299998,0.5147352315061203
2015-06-04,1.4699999,0.19140278516941633
2015-06-05,2.81,0.11637395777896044
